year,category,film,name,result,gender,birthday,genreids,original_language
2018,Best Picture,"Three Billboards outside Ebbing, Missouri","Graham Broadbent, Pete Czernin and Martin McDonagh, Producers",Nominee,,,"[80, 18]",en
2019,Best Picture,Green Book,"Jim Burke, Charles B. Wessler, Brian Currie, Peter Farrelly and Nick Vallelonga, Producers",Winner,,,"[18, 35, 10402]",en
2019,Best Picture,Black Panther,"Kevin Feige, Producer",Nominee,,,"[28, 12, 878]",en
2019,Best Picture,BlacKkKlansman,"Sean McKittrick, Jason Blum, Raymond Mansfield, Jordan Peele and Spike Lee, Producers",Nominee,,,"[80, 18, 36, 35]",en
2019,Best Picture,Bohemian Rhapsody,"Graham King, Producer",Nominee,,,"[10402, 18, 36]",en
2019,Best Picture,The Favourite,"Ceci Dempsey, Ed Guiney, Lee Magiday and Yorgos Lanthimos, Producers",Nominee,,,"[36, 18, 35]",en
2019,Best Picture,Roma,"Gabriela Rodríguez and Alfonso Cuarón, Producers",Nominee,,,[18],es
2019,Best Picture,A Star Is Born,"Bill Gerber, Bradley Cooper and Lynette Howell Taylor, Producers",Nominee,,,"[18, 10749, 10402]",en
2019,Best Picture,Vice,"Dede Gardner, Jeremy Kleiner, Adam McKay and Kevin Messick, Producers",Nominee,,,"[18, 36, 35]",en
2020,Best Picture,Parasite,"Kwak Sin Ae and Bong Joon Ho, Producers",Winner,,,"[35, 53, 18]",ko
2020,Best Picture,Ford v Ferrari,"Peter Chernin, Jenno Topping and James Mangold, Producers",Nominee,,,"[18, 28, 36]",en
2020,Best Picture,The Irishman,"Martin Scorsese, Robert De Niro, Jane Rosenthal and Emma Tillinger Koskoff, Producers",Nominee,,,"[80, 18, 36]",en
2020,Best Picture,Jojo Rabbit,"Carthew Neal, Taika Waititi and Chelsea Winstanley, Producers",Nominee,,,"[35, 10752, 18]",en
2020,Best Picture,Joker,"Todd Phillips, Bradley Cooper and Emma Tillinger Koskoff, Producers",Nominee,,,"[80, 53, 18]",en
2020,Best Picture,Little Women,"Amy Pascal, Producer",Nominee,,,"[18, 10749]",en
2020,Best Picture,Marriage Story,"Noah Baumbach and David Heyman, Producers",Nominee,,,[18],en
2020,Best Picture,1917,"Sam Mendes, Pippa Harris, Jayne-Ann Tenggren and Callum McDougall, Producers",Nominee,,,"[10752, 18, 28, 53]",en
2020,Best Picture,Once upon a Time in Hollywood,"David Heyman, Shannon McIntosh and Quentin Tarantino, Producers",Nominee,,,"[35, 18, 53]",en
2021,Best Picture,Nomadland,"Frances McDormand, Peter Spears, Mollye Asher, Dan Janvey and Chloé Zhao, Producers",Winner,,,[18],en
2021,Best Picture,The Father,"David Parfitt, Jean-Louis Livi and Philippe Carcassonne, Producers",Nominee,,,[18],en
2021,Best Picture,Judas and the Black Messiah,"Shaka King, Charles D. King and Ryan Coogler, Producers",Nominee,,,"[18, 36]",en
2021,Best Picture,Mank,"Ceán Chaffin, Eric Roth and Douglas Urbanski, Producers",Nominee,,,"[18, 36]",en
2021,Best Picture,Minari,"Christina Oh, Producer",Nominee,,,[18],en
2021,Best Picture,Promising Young Woman,"Ben Browning, Ashley Fox, Emerald Fennell and Josey McNamara, Producers",Nominee,,,"[53, 80, 18]",en
2021,Best Picture,Sound of Metal,"Bert Hamelinck and Sacha Ben Harroche, Producers",Nominee,,,"[18, 10402]",en
2021,Best Picture,The Trial of the Chicago 7,"Marc Platt and Stuart Besser, Producers",Nominee,,,"[18, 36]",en
